has_balcony_int,has_elevator_int,dummy_regional_city,rooms,floor_is,floor_max,lat,lon,area_usable,area_total,area_other,area_balcony,area_cellar,log_area_usable,log_area_total,interaction_area_rooms,local_price_area_usable_per_m2_knn_avg,local_price_area_usable_per_m2_knn_median,local_price_area_total_per_m2_knn_avg,local_price_area_total_per_m2_knn_median,knn_count,is_ground_floor,floor_ratio,listing_quality_score,area_per_room,balcony_ratio,dist_nearest_employer,dist_nearest_attraction,dist_nearest_city,dist_ba,dist_tt,dist_tn,dist_nr,dist_za,dist_bb,dist_po,dist_ke,dist_vw_bratislava,dist_us_steel_kosice,dist_kia_zilina,dist_psa_trnava,dist_slovnaft_ba,dist_samsung_galanta,dist_samsung_voderady,dist_continental_puchov,dist_mondi_rk,dist_schaeffler_kysuce,dist_hella_banovce,dist_whirlpool_poprad,dist_foxconn_nitra,dist_jlr_nitra,dist_zeleziarne_podbrezova,dist_duslo_sala,dist_embraco_snv,dist_matador_vrable,dist_se_mochovce,dist_t_systems_kosice,dist_spissky_hrad,dist_vlkolinec,dist_banska_stiavnica,dist_strbske_pleso,dist_slovensky_kras,dist_muranska_planina,dist_lomnicky_stit,dist_jasna,dist_tatranska_lomnica,dist_donovaly,dist_piestany,dist_trencianske_teplice,dist_rajecke_teplice,dist_tatralandia,locality_region_idx,condition_name_idx,locality_gps_precision_group_idx
0.0,0.0,-2020.7005485039178,2068.211052008349,-400.8524621907006,-794.957143971795,-32.106734602347224,1.2530991332022197,7287.418602383789,2186.0763883580494,-53.560268674299,-566.6446750228471,31.954232048637635,3350.082630743058,3439.7305627927262,6910.285179871238,-11672.10990031079,-12718.626675020749,-12338.67456031575,-1822.5670541366228,-25.89003219536539,243.43858588460603,549.7380734537448,185.36272823316256,-118.1267319650574,-1122.172725163265,-302.34435634905225,32.79635936269853,-1383.9816749822553,-1668.0456851066099,-289.152373751226,-25.579953838986686,59.83694327076366,-98.79135426345061,0.0,-199.20703666043661,19.77883539861451,-1671.2251769899967,-351.6459341645582,-1.1339496611422826,10.719591848885852,-83.34424659345648,-96.4666378527945,150.55060168129415,53.741527383578855,-19.251476272911617,20.235493349649143,-1.8756711677772913,-146.55059525040656,90.39508111231216,97.63726527793544,28.908368789348945,20.36260582075017,-398.1298864533585,150.11029226300704,109.5866870229062,-281.1959036378313,2.2169779513433525,-39.88090752792873,-6.979270821135172,-383.5662118354651,-317.3717521738237,1.0347252522396277,-1148.9172180994783,-413.2256972394251,-43.2122927831705,10.218328135869534,78.4703262077817,-542.1805093645993,-192.72147457498411,-7.096156134702344,-485.9103189770203,-10377.532522276051,164.22602996367544
0.0,0.0,-1583.2039699972777,-424.9166483109257,-2519.6190851783144,65.43891028954343,-0.5028995063752796,-8.170325782705186,-6141.748562081752,-9671.317379817894,-41.822205665866335,-590.8069244423876,3.442867467503695,-4409.5312396193485,-4599.03707748397,-4066.909581464818,6957.777178392704,9831.762584674396,2578.889422611159,6074.415999547518,30.575733630976167,-6251.017615280753,-1230.9192648609437,-1326.895017360872,-127.22611484321962,-1030.3808104111674,-352.6180428052147,63.76566550887705,-1397.5772768629506,-1992.5263111331878,-372.26518573950153,45.634396754543076,95.06334520403792,-8.888472939755173,0.0,-330.4122978244835,19.77883539861451,-1404.9303923155296,-407.15412777679967,-4.016765675863039,31.661104711239894,-97.19730730313798,-86.90125168282334,21.42353378135406,-63.82353615805979,-110.93213911742566,-51.31127164860705,40.776843701719464,-241.07024220433777,145.1924576092582,281.1852442544501,40.84567468498217,-32.13684431385604,-504.5538760149732,280.2193777770102,117.27437157328299,-387.5943949369028,-178.4024447595041,-5.870123336808639,-10.924301058998966,-327.34946388343377,-270.46804812782096,-67.99248359150576,-604.5906899167976,-424.2823403882054,-375.4708167799151,29.74592815970904,82.79204362388896,-107.00962886005959,-188.83328959366207,118.33203821546618,1121.678991164827,2087.7949276317827,-588.7708431396841
0.0,0.0,-1653.7925957249113,-7417.846641225974,-1393.9156911314283,-1292.4448365228034,-82.02807328801585,3.9684708792058707,-17492.181868309002,-19577.98325486226,-53.18052658242771,-501.76665595756685,-19.43862762406912,-10519.950066307141,-14357.684400665747,-15953.93342608144,-401.018782456196,7622.677257718037,-3488.224877084168,2953.750149849084,34.87933073053537,291.2293775616194,-205.57320223573996,207.41566288263473,258.4153547478804,-908.0366662762157,-213.94169521214633,34.915719603053354,-1323.3948267588928,-1956.3106257320476,410.6235538701275,11.09280564937368,-3.604583305931031,13.616305408064935,0.0,-338.8206983776962,16.804965065454255,-1119.0092934099093,-457.6899266075058,29.63914403380842,121.27282609014496,-302.21750529814904,-120.57432018772137,-24.555389336945254,-78.85033946433086,186.3661042449086,8.979063583654106,8.119330569095697,-329.6041289429589,110.15650368420238,36.258260139611224,-38.0110036535972,26.422262290770632,-496.5866425742163,222.65951864229365,47.74828445573557,-373.6474165148841,-275.08236437167915,11.340619658920412,-6.979270821135172,-231.6036378967486,-361.7574473197925,3.7082971329637564,-672.7761317086251,-458.2053971540919,-223.86384691425465,6.857474779489896,-200.8516275832182,-137.77058341283936,44.297914282676444,-65.45110258999361,-1002.1834131858838,13347.40431452901,74.26863891252924
0.0,0.0,-2173.3924494146813,-1178.6602453900812,-2221.2583534507667,-318.17458491970297,-19.433365810672118,37.788333236744435,8812.716941521168,19548.47106626017,-51.459506794543685,1304.6329307251074,-19.353535112795168,6001.6574532554005,8888.08279331478,-3516.2437446867025,-8405.418862358467,-8672.681240981168,-11427.929816416616,-3351.3409246567485,-59.896346999793764,360.8447023103651,-273.55333400235645,185.9341050075002,144.87710075328022,2564.641270386696,-207.6486653170725,84.04843951704798,-1747.456012909397,-1894.4660385145212,-350.9771142580646,-25.579953838986686,-38.928306779049855,-79.41526877205048,0.0,-199.54807107876485,16.804965065454255,-1794.8716003920022,-752.9537193617764,43.38600463191161,10.719591848885852,23.88845245611256,-11.155124941893508,155.25773527688654,37.313924696996175,1.0168173976040418,21.526967019367273,-1.8756711677772913,-143.57760907788182,90.97212847747473,49.556058168065974,48.45219012125231,31.400908675540677,-507.6331810577749,-154.6862098941033,-283.9964284066386,-617.3343998829023,-237.44748400436163,-5.870123336808639,-6.979270821135172,-554.7570622539881,-360.8237023444532,-0.8677809025370922,-1117.9233013806179,-524.5136336357563,-47.029545769085914,-0.9772307454259197,-192.58293859866487,-783.8173361128,-217.14408076416993,-20.734619022033534,-735.5668109366894,17849.254630985022,172.46538656796955
0.0,0.0,-1694.6722810284436,-5926.842271619781,-763.3337110142321,-1357.4318849808883,8.208081685322654,3.2782970434242777,-15741.209864227461,-20223.176738030295,-61.0151732147385,-448.27544263845,-31.459338859511227,-9707.789907869257,-14370.467716462868,-14254.93519915945,-5446.5674267477425,8887.830194721964,-9029.422026008779,-8661.73642239101,-920.364106954499,187.8563168410334,-517.3459488935326,-468.99842772629347,-763.9261910886983,-953.1897933030203,-307.56611350939477,-175.40233098247663,-1101.842538152161,-1679.0330980742062,-669.1513818318241,-19.78946081415613,29.98704125275474,-13.811591176328438,0.0,-142.73292661456037,10.489218868186272,-1268.0284027345756,-459.55259972126885,-14.854881491008165,-75.13408939756073,-10.561072142463525,-120.57432018772137,44.61792815229033,121.56216811300668,171.68268583884353,-43.777913767542,10.616238727676235,-357.0291962720251,-123.2055469120812,-257.33425511103223,-25.5792723535948,4.558453730377718,-217.0260916522309,-380.55691893696996,-131.047455613482,-365.1989829240155,-141.62274096435038,-10.4198677356266,-6.979270821135172,-178.07012950241332,-260.8746268368575,-14.487445910274436,-720.9557828881855,-386.94211421445806,-124.02113254030148,9.970646264200845,78.67208860416355,159.17052291416115,38.02536340591672,-60.758499469063366,-3648.985224126904,-6498.199384113518,-1023.3002585467872
0.0,0.0,2017.708342797336,3865.098512964612,2132.318636831659,14.253895404863727,-90.1877051621858,-28.550280622086916,4012.7466356113177,378.38437278320055,-69.29654453758633,1273.8714255319508,47.99158606934133,-486.575758567787,-487.77683330433973,7868.0793557785655,51979.4096888534,10631.835038399282,13570.133296769136,7365.1392766360905,11.696636019018465,434.36399223285724,397.8432419373732,-98.8640148729796,128.31847082397152,2398.899376122254,180.31502008116607,23.44616354806948,3900.4745338954904,9772.818110150336,704.0013734592525,-4.20537007386024,127.78120253392471,13.616305408064935,0.0,732.0249236533907,4.087111810303474,3930.7141516961187,1034.911842427013,-35.34638511119897,19.179188088592603,-485.70373441177827,35.77143542806738,-202.73684336512804,47.26409703695794,-147.8170928793658,68.10699293973249,19.41623247673039,227.11301558509786,163.18583674199397,434.88992358016327,-44.129288613195335,-85.20587603001417,1645.6040741223667,329.7379520590581,142.745251314434,804.7629122769812,311.8359222628888,122.78463222839297,3.7646331062916696,818.490984582423,1151.7541105559176,9.184159066815836,2601.7491989630307,1619.302097143023,-42.075445491252154,24.24337137985843,87.66958349746199,-92.09168506713003,201.51270976204893,244.74974661686642,1267.4368002129063,20546.904211211393,166.75342412272764
0.0,0.0,-2307.2129517253047,1910.0322086550646,2236.09002520334,13.75470198980626,-32.69443875438815,3.9761959136699794,2167.9941602143203,3257.4525347593553,-60.32071132691549,1551.4330597900066,15.642882168195477,603.0812165641952,4157.933522466981,3956.4368289635213,-17533.18011848742,-14825.499193625557,-10227.745315302926,-2543.8689197946587,-25.89003219536539,255.11511927823938,623.7565066813467,162.76904497810972,-112.10147263687074,2633.7819051801634,-296.1197659270409,96.67170270906833,-1180.6610376216004,-1686.239808178099,-289.152373751226,-25.579953838986686,59.83694327076366,-94.13104267749098,0.0,-199.54807107876485,19.77883539861451,-1113.8579470593556,-344.6048916356626,0.6455793711091804,10.719591848885852,1.1956385558234999,-69.45769924671687,150.55060168129415,67.11203809450284,-20.235462778327985,7.595163807939756,-1.8756711677772913,-150.79420706394188,90.39508111231216,153.4262215849485,48.45219012125231,14.885950747657573,-372.63603119441825,272.0299622521877,13.921035612427893,-282.29622365042604,-7.179398853194428,-39.88090752792873,-6.979270821135172,-280.1497962842751,-375.87210244902894,1.0347252522396277,-694.7347249898773,-608.6039982412864,-81.81167612763524,7.183019244473523,90.22387829188628,-554.8444044871247,-264.88364922583696,-31.439555987429642,-916.8289287883833,-711.2739919908872,252.2145058911618
0.0,0.0,2342.0400683238954,4009.484093423156,1358.210134428928,1287.9630001921776,104.78684198811496,258.38060086654866,5835.298473461593,6069.964180109527,-114.33435002940053,1651.1954164139001,17.595862538121416,0.48695233811343996,6215.556539077183,13033.701116111884,55184.83867157119,14677.301211140188,38998.714531011916,7545.622109927737,47.41304484869129,474.69058369064743,-2403.854556051471,-143.37942635087774,170.23726794028968,2701.082391529095,106.04982916793949,38.048439052499944,3229.448897820571,7223.2250535611265,843.8884732842548,-4.20537007386024,135.10063763489865,17.836701880352578,0.0,732.0249236533907,17.41324347763893,3437.9477202306202,1100.3506157383003,-5.73766300249844,11.84764361879374,355.82778889885606,40.12079978876968,-138.7325865845992,66.01324020494567,-212.3100177313147,68.10699293973249,19.41623247673039,287.28005698842065,163.18583674199397,448.0855960135663,-39.98316730537465,-24.31313023968024,666.6386301928352,-263.36251219354045,-2.0290525836145434,829.8188577992706,355.75676783518395,122.78463222839297,3.7646331062916696,727.5780750436118,836.8591711225519,23.614307286590186,2764.4400581765935,1154.919458282703,-42.075445491252154,12.489094411948436,-40.8283076937021,128.24947508803015,201.51270976204893,4.416679928132789,984.9625972536294,21106.059317776726,779.9304404314051
0.0,0.0,-1916.4610794466303,2772.345805160929,-203.46384435739319,-463.2120054163816,-23.985070105408152,-19.78747970222974,-3066.005080664242,2211.724997149752,-53.28975495582783,1234.8317336011592,-8.01778905692312,-2887.6701484266364,640.3388209209901,-2253.520376741024,-7560.389069679691,5445.724372224487,-8029.4182860986875,-1525.6431735108163,-10.0326441158533,338.8430523406362,-164.13066321424995,251.8100572083661,50.6714534787034,2444.504727287593,-277.0536294709162,28.379396775189157,-1227.5209263160018,-2223.915501891718,591.5273802025118,-4.20537007386024,-90.97724313446514,13.616305408064935,0.0,-419.5441183105081,17.718467957459353,-926.2420149150396,-749.8557738040424,-5.713776659963762,11.816489311363462,-182.22618639524424,134.13311323241655,-62.645729213271494,-74.58966830510168,118.19942329071995,-10.205073769099613,-1.8756711677772913,-321.8722625559638,-156.82966777069947,-411.77042243273365,-45.282468555345986,26.84241837700383,-720.2745941648742,-579.9128933837634,-244.06519309453205,-477.3491890089059,-89.55286764229683,22.691151602707738,-6.979270821135172,-387.6536035682259,-234.39631734814895,3.7082971329637564,-1000.9341788959263,-620.3581816500924,-149.5849139709483,6.798098312269106,-206.1127861332206,-120.88833694575857,81.94416386025783,-2.2207648031048635,1156.1644669176392,10619.84738359221,243.451460220573
0.0,0.0,1881.1292157796483,-712.8399818758139,-157.30631523289026,-145.9720114593791,15.596484743607364,63.98579825729062,729.4110623781826,1881.3049934813346,-73.9168017571488,10.162543478035431,-15.931925839932665,601.7521887377691,-60.26708245296621,-3131.4602718099204,22126.665504653858,11964.355024642464,8135.914165023847,6270.295862341578,25.86537226876115,291.3768184155624,-1207.1948844848175,-66.42855675942882,24.773031858759698,81.56468516717943,316.81444452682655,40.309109881656795,-1653.8531795136234,3481.6711725436553,895.7484540510188,-4.20537007386024,-2.294320889628154,-1.0994684973755668,0.0,732.8517278566509,22.881374188422193,4016.153267283413,1040.728751320885,-18.951117405016007,22.330723182144283,452.1567219401983,-209.3623825418921,-111.08153523183397,-78.79070283623543,112.06056397780323,-25.446481948899322,19.41623247673039,812.6918998720068,148.0989759699454,350.8993310938629,-21.925129025467054,22.699914087079662,1339.4088585862328,30.246914375910677,79.54447678367126,825.5313334114345,594.686843287657,22.691151602707738,3.7646331062916696,1008.1633553616603,723.0972724877657,4.841059183224662,2561.484787703663,779.2417038232509,-56.94932227336467,16.514000337432464,-40.37636547994798,237.85529702764296,128.19799123923175,-4.694937656930691,316.9101555864764,-8806.542369779738,-208.20673197980815
