id,city_name,locality_city,locality_town,area_usable,area_total,rooms,floor_is,floor_max,has_balcony,has_elevator,condition_name,listing_quality_score,locality_gpsPrecisionScore,price_current,other_model_estimated_price,our_model_predicted_price,other_model_error,our_model_error,better_model,prediction_error,prediction_error_pct,offer_type,is_active,date_archived
5180,Levice,,Levice,62.0,62.0,2.0,1.0,6.0,b'\x00',b'\x00',Čiastočná rekonštrukcia,0,0.0,103000.0,99530.09,92599.98410592749,3469.9100000000035,10400.015894072509,Other Model,-10400.015894072509,-10.1,1,b'\x01',
5182,Senec,,Senec,71.0,71.0,3.0,2.0,12.0,b'\x00',b'\x01',Čiastočná rekonštrukcia,0,0.0,188000.0,184071.03,177193.88245885767,3928.970000000001,10806.117541142332,Other Model,-10806.117541142332,-5.75,1,b'\x01',
5186,Bratislava,Bratislava,,107.0,109.9,3.0,1.0,4.0,b'\x00',b'\x00',Novostavba,0,0.0,404000.0,,490763.7972280588,,86763.7972280588,No estimate available,86763.7972280588,21.48,1,b'\x01',
5192,Poprad,,Poprad,47.0,47.0,2.0,0.0,,b'\x00',b'\x00',Kompletná rekonštrukcia,0,0.0,134000.0,135750.69,115559.2034166361,1750.6900000000023,18440.796583363903,Other Model,-18440.796583363903,-13.76,1,b'\x01',
5202,Košice,Košice,,77.0,77.0,3.0,1.0,2.0,b'\x00',b'\x01',Pôvodný stav,0,0.0,249900.0,244901.29,230439.28093270696,4998.709999999992,19460.719067293045,Other Model,-19460.719067293045,-7.79,1,b'\x01',
5209,Banská Bystrica,Banská Bystrica,,46.0,61.72,2.0,2.0,2.0,b'\x01',b'\x00',Kompletná rekonštrukcia,0,0.0,217500.0,,181571.38644894265,,35928.61355105735,No estimate available,-35928.61355105735,-16.52,1,b'\x01',
5216,Piešťany,,Vrbové,98.0,144.3,4.0,,,b'\x01',b'\x01',Novostavba,0,0.0,199990.0,254384.03,203219.95513745525,54394.03,3229.955137455254,Our Model,3229.955137455254,1.62,1,b'\x01',
5217,Piešťany,,Vrbové,66.0,80.8,3.0,,,b'\x01',b'\x01',Novostavba,1,1.0,121900.0,158334.88,132302.80970890206,36434.880000000005,10402.80970890206,Our Model,10402.80970890206,8.53,1,b'\x01',
5220,Piešťany,,Vrbové,45.0,66.45,2.0,,,b'\x01',b'\x01',Novostavba,1,1.0,107900.0,108137.08,139551.80890371042,237.08000000000175,31651.808903710422,Other Model,31651.808903710422,29.33,1,b'\x01',
5221,Prievidza,,Handlová,55.0,55.0,2.0,3.0,3.0,b'\x01',b'\x00',Čiastočná rekonštrukcia,1,1.0,52500.0,61003.71,59935.43428454746,8503.71,7435.43428454746,Our Model,7435.43428454746,14.16,1,b'\x01',
