id,city_name,locality_city,locality_town,price_current
783,Trenčín,Trenčín,,129000.0
786,Dunajská Streda,,Dunajská Streda,199000.0
787,Bratislava,Bratislava,,185900.0
788,Bratislava,Bratislava,,284900.0
794,Komárno,,Komárno,105000.0
797,Bratislava,Bratislava,,420000.0
801,Piešťany,,Piešťany,193000.0
811,Piešťany,,Piešťany,235000.0
813,Bratislava,Bratislava,,564753.0
825,Bratislava,Bratislava,,299900.0
826,Bratislava,Bratislava,,333500.0
827,Bratislava,Bratislava,,626700.0
828,Bratislava,Bratislava,,591500.0
837,Bratislava,Bratislava,,332625.0
838,Bratislava,Bratislava,,295843.0
841,Nové Zámky,,Nové Zámky,340000.0
842,Piešťany,,Piešťany,140000.0
843,Bratislava,Bratislava,,375000.0
846,Bratislava,Bratislava,,340000.0
847,Bratislava,Bratislava,,305000.0
849,Bratislava,Bratislava,,899900.0
851,Nitra,Nitra,,155600.0
852,Nitra,Nitra,,216800.0
854,Nitra,Nitra,,99700.0
860,Bratislava,Bratislava,,292474.0
866,Bratislava,Bratislava,,455051.0
870,Lučenec,,Lučenec,152000.0
874,Bratislava,Bratislava,,219032.0
876,Bratislava,Bratislava,,252000.0
877,Trenčín,,Dubnica nad Váhom,300000.0
884,Martin,,Martin,86000.0
885,Martin,,Martin,134000.0
886,Michalovce,,Michalovce,124900.0
888,Pezinok,,Pezinok,149900.0
892,Prešov,Prešov,,250000.0
898,Lučenec,,Lučenec,83000.0
900,Nové Zámky,,Nové Zámky,141000.0
902,Pezinok,,Pezinok,215000.0
903,Trenčín,Trenčín,,183939.0
904,Žilina,Žilina,,225000.0
905,Zvolen,,Zvolen,273000.0
906,Bratislava,Bratislava,,600700.0
907,Bratislava,Bratislava,,556500.0
913,Piešťany,,,170500.0
914,Zvolen,,Zvolen,189000.0
915,Bratislava,Bratislava,,467300.0
919,Michalovce,,Michalovce,119900.0
925,Trenčín,Trenčín,,121990.0
926,Bratislava,Bratislava,,351500.0
933,Bratislava,Bratislava,,455050.0
937,Dunajská Streda,,Dunajská Streda,159000.0
939,Piešťany,,,234000.0
941,Spišská Nová Ves,,Spišská Nová Ves,105000.0
947,Bratislava,Bratislava,,721000.0
949,Prešov,Prešov,,139000.0
955,Bratislava,Bratislava,,735000.0
962,Košice,Košice,,388788.0
964,Bratislava,Bratislava,,455500.0
970,Poprad,,Poprad,265000.0
972,Bratislava,Bratislava,,415000.0
988,Piešťany,,Piešťany,361800.0
990,Banská Bystrica,,,229100.0
991,Banská Bystrica,,,212500.0
1000,Piešťany,,Piešťany,369000.0
1007,Košice,Košice,,140000.0
1009,Senec,,,197910.0
1011,Bratislava,Bratislava,,295990.0
1019,Košice,Košice,,565554.0
1029,Bratislava,Bratislava,,379000.0
1030,Bratislava,Bratislava,,349500.0
1037,Banská Bystrica,Banská Bystrica,,284900.0
1038,Bratislava,Bratislava,,211435.0
1054,Dunajská Streda,,Dunajská Streda,139000.0
1059,Dunajská Streda,,Dunajská Streda,96200.0
1061,Trenčín,Trenčín,,141500.0
1063,Bratislava,Bratislava,,335000.0
1066,Prešov,Prešov,,179000.0
1076,Košice,Košice,,371949.0
1077,Košice,Košice,,370821.0
1078,Košice,Košice,,314019.0
1082,Bratislava,Bratislava,,466125.0
1083,Bratislava,Bratislava,,337225.0
1084,Bratislava,Bratislava,,449900.0
1095,Bratislava,Bratislava,,499900.0
1102,Dunajská Streda,,Dunajská Streda,114900.0
1104,Bratislava,Bratislava,,252307.0
1106,Komárno,,Komárno,170821.0
1110,Bratislava,Bratislava,,499720.0
1114,Trnava,Trnava,,349900.0
1122,Košice,Košice,,290967.0
1124,Zvolen,,Zvolen,149000.0
1127,Liptovský Mikuláš,,Liptovský Mikuláš,213000.0
1129,Galanta,,Galanta,136800.0
1132,Bratislava,Bratislava,,363875.0
1133,Bratislava,Bratislava,,496725.0
1136,Liptovský Mikuláš,,Liptovský Mikuláš,393500.0
1137,Piešťany,,Piešťany,135000.0
1145,Nové Zámky,,,74800.0
1147,Nitra,Nitra,,170000.0
1148,Bratislava,Bratislava,,267500.0
1150,Dunajská Streda,,Dunajská Streda,130000.0
1153,Šaľa,,,138000.0
1157,Senec,,,189990.0
1158,Poprad,,Poprad,130000.0
1160,Galanta,,,113000.0
1164,Komárno,,Hurbanovo,58000.0
1168,Senec,,,250000.0
1170,Nové Zámky,,Nesvady,160000.0
1171,Nové Zámky,,Nové Zámky,93000.0
1172,Nové Zámky,,Nové Zámky,122500.0
1174,Senec,,,226200.0
1176,Malacky,,Malacky,189000.0
1180,Komárno,,Komárno,135000.0
1182,Poprad,,Poprad,273921.0
1184,Dunajská Streda,,Dunajská Streda,139900.0
1186,Piešťany,,,215000.0
1187,Košice,Košice,,269000.0
1189,Bratislava,Bratislava,,599000.0
1193,Bratislava,Bratislava,,389990.0
1195,Rožňava,,,76911.0
1198,Trnava,Trnava,,279000.0
1199,Michalovce,,Strážske,132000.0
1200,Lučenec,,Lučenec,76990.0
1202,Trenčín,,,139000.0
1203,Košice,Košice,,261245.0
1204,Košice,Košice,,231610.0
1205,Košice,Košice,,300405.0
1206,Zlaté Moravce,,Vráble,173759.0
1207,Zlaté Moravce,,Vráble,124760.0
1211,Levice,,Piešťany,234000.0
1212,Levice,,Piešťany,262000.0
1214,Detva,,Detva,98800.0
1217,Trnava,,Sereď,168000.0
1233,Levice,,Dudince,159990.0
1236,Dubnica nad Váhom,,Trenčianske Teplice,256250.0
1239,Nové Zámky,,,110000.0
1240,Malacky,,,140672.0
1241,Galanta,,Galanta,159500.0
1242,Galanta,,Galanta,177230.0
1243,Galanta,,Galanta,136800.0
1244,Prievidza,,Handlová,54000.0
1245,Kežmarok,,,139999.0
1248,Galanta,,Galanta,159000.0
1254,Senica,,,89900.0
1256,Galanta,,Sereď,142990.0
1257,Žiar nad Hronom,,Žiar nad Hronom,227000.0
1260,Malacky,,,145000.0
1263,Dubnica nad Váhom,,Trenčianske Teplice,200875.0
1267,Brezno,,,318000.0
1269,Revúca,,,67000.0
1270,Bratislava,,,224900.0
1271,Zlaté Moravce,,Zlaté Moravce,155125.0
1273,Piešťany,,,152000.0
1274,Piešťany,,,215000.0
1275,Banská Štiavnica,,Banská Štiavnica,145000.0
1276,Banská Bystrica,,,229999.0
1281,Banská Štiavnica,,Banská Štiavnica,175250.0
1286,Kežmarok,,,153000.0
1287,Poprad,,,299900.0
1288,Brezno,,,195000.0
1289,Zlaté Moravce,,Zlaté Moravce,103000.0
1290,Zlaté Moravce,,Zlaté Moravce,153500.0
1292,Poprad,,Vysoké Tatry,165000.0
1294,Žilina,,Rajecké Teplice,159049.0
1297,Ilava,,Ilava,222000.0
1299,Stará Ľubovňa,,,59291.0
1300,Stará Ľubovňa,,,90129.0
1301,Dunajská Streda,,Dunajská Streda,159990.0
1302,Hlohovec,,Hlohovec,139500.0
1303,Zlaté Moravce,,,64000.0
1304,Čadca,,Turzovka,103000.0
1305,Senec,,,223800.0
1308,Gelnica,,,50000.0
1309,Galanta,,Sereď,239000.0
1315,Považská Bystrica,,Rajec,135000.0
1321,Trebišov,,,102990.0
1322,Pezinok,,Svätý Jur,409900.0
1327,Prievidza,,Handlová,78999.0
1337,Lučenec,,Lučenec,96000.0
1339,Banská Bystrica,,,295000.0
1344,Liptovský Mikuláš,,Liptovský Mikuláš,217000.0
1347,Detva,,Detva,120000.0
1356,Bratislava,Bratislava,,359000.0
1359,Senica,,Senica,98000.0
1365,Stará Ľubovňa,,Podolínec,289264.0
1367,Prešov,,,277500.0
1369,Malacky,,,89990.0
1375,Bratislava,,,280000.0
1377,Ilava,,Ilava,134900.0
1378,Bánovce nad Bebravou,,Bánovce nad Bebravou,117000.0
1379,Nitra,Nitra,,179990.0
1381,Prešov,Prešov,,269000.0
1386,Piešťany,,Piešťany,180000.0
1387,Galanta,,Galanta,136800.0
1388,Čadca,,,111631.0
1391,Bánovce nad Bebravou,,Bánovce nad Bebravou,57000.0
1392,Košice,Košice,,384343.0
1393,Košice,Košice,,239445.0
1394,Galanta,,Sereď,138000.0
1398,Galanta,,Sereď,235000.0
1401,Stará Ľubovňa,,,66417.0
1419,Dunajská Streda,,,130000.0
1421,Brezno,,,138500.0
1422,Malacky,,,143900.0
1424,Ilava,,Ilava,94500.0
1425,Zlaté Moravce,,Vráble,199000.0
1426,Galanta,,Galanta,136706.0
1435,Stará Ľubovňa,,Stará Ľubovňa,280144.0
1439,Dubnica nad Váhom,,Trenčianske Teplice,200875.0
1441,Bratislava,,,325000.0
1443,Nitra,,Vráble,107900.0
1450,Banská Bystrica,,,235000.0
1453,Prievidza,,,56000.0
1454,Považská Bystrica,,Považská Bystrica,139000.0
1456,Galanta,,Galanta,158000.0
1457,Nové Zámky,,Nové Zámky,174800.0
1458,Senica,,Šaštín-Stráže,125000.0
1460,Piešťany,,Piešťany,177900.0
1461,Nové Zámky,,Nové Zámky,174000.0
1473,Nitra,,,173759.0
1480,Lučenec,,Lučenec,74900.0
1487,Bratislava,Bratislava,,189000.0
1499,Košice,Košice,,222923.0
1501,Banská Štiavnica,,Banská Štiavnica,192000.0
1502,Topoľčany,,Topoľčany,265000.0
1503,Banská Štiavnica,,Banská Štiavnica,149900.0
1504,Piešťany,,Piešťany,103000.0
1507,Levice,,Želiezovce,64900.0
1508,Senica,,Šaštín-Stráže,90000.0
1510,Galanta,,Galanta,128000.0
1552,Bratislava,Bratislava,,261635.0
1555,Piešťany,,Piešťany,335000.0
1556,Piešťany,,Piešťany,219000.0
