Model,MAE (EUR),MAPE (%),RMSE (EUR),R²
CatBoost,35360.76141921417,20.65721592381377,77947.72722931365,0.7161037125257569
XGBoost,34971.09754124133,20.882729918497116,75646.31174276878,0.7326203711249525
LightGBM,35202.32350758902,22.204414409338547,114346.9870401949,0.3890548080134363
